search_time (s),config time (ms)
0,559517.9402342757
1,229200.08743813314
2,226197.34595870393
4,75897.60279937719
5,62005.903681036565
6,61550.45539376391
7,61510.90076129276
12,61510.90076129276
13,61608.375318431594
14,61510.90076129276
15,61510.90076129276
16,61510.90076129276
17,61510.90076129276
18,61510.90076129276
19,61550.45539376391
20,61550.45539376391
21,61550.45539376391
22,61550.45539376391
23,61550.45539376391
24,61608.375318431594
25,61608.375318431594
26,61608.375318431594
27,61608.375318431594
28,61608.375318431594
29,61883.66117176093
30,61883.66117176093
31,61883.66117176093
32,61883.66117176093
33,61883.66117176093
34,61889.577883760925
35,61889.577883760925
36,61889.577883760925
37,61889.577883760925
38,61889.577883760925
39,61987.82837929277
40,61987.82837929277
41,61987.82837929277
42,61987.82837929277
43,61987.82837929277
44,62005.903681036565
45,62005.903681036565
46,62005.903681036565
47,62005.903681036565
48,62005.903681036565
49,75863.95889160494
50,75863.95889160494
51,75863.95889160494
52,75863.95889160494
53,75863.95889160494
54,75897.60279937719
55,75897.60279937719
56,75897.60279937719
57,75897.60279937719
58,75897.60279937719
59,76097.00068150609
60,76097.00068150609
61,76097.00068150609
62,76097.00068150609
63,76097.00068150609
64,76149.1050865061
65,76149.1050865061
66,76149.1050865061
67,76149.1050865061
68,76149.1050865061
69,76219.62684651028
70,76219.62684651028
71,76219.62684651028
72,76219.62684651028
73,76219.62684651028
74,76325.92351158442
75,76325.92351158442
76,76325.92351158442
77,76325.92351158442
78,76325.92351158442
79,76344.8712884001
80,76344.8712884001
81,76344.8712884001
82,76344.8712884001
83,76344.8712884001
84,226052.10435363746
85,226052.10435363746
86,226052.10435363746
87,226052.10435363746
88,226052.10435363746
89,226119.47765963743
90,226119.47765963743
91,226119.47765963743
92,226119.47765963743
93,226119.47765963743
94,226197.34595870393
95,226197.34595870393
96,226197.34595870393
97,226197.34595870393
98,226197.34595870393
99,226461.53175544698
100,226461.53175544698
101,226461.53175544698
102,226461.53175544698
103,226461.53175544698
104,226506.4785044325
105,226506.4785044325
