stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,244256.55,21331.84,19976.34,1355.50
stage-1,244095.29,18960.12,17680.12,1280.00
stage-2,244186.08,17020.12,15740.12,1280.00
stage-3,243325.53,21092.25,19812.25,1280.00
stage-4,244048.49,20136.06,18856.06,1280.00
stage-5,244009.60,26990.65,25526.65,1464.00
