stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,331278.10,27969.15,25323.15,2646.00
stage-1,326031.29,24863.53,23076.03,1787.50
stage-2,322388.47,26352.64,24540.14,1812.50
