stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,39638.41,45601.24,40481.24,5120.00
stage-1,38866.82,46336.15,41216.15,5120.00
stage-2,38800.64,45632.76,40512.76,5120.00
stage-3,36585.52,47108.54,41988.54,5120.00
stage-4,33762.15,47107.00,36867.00,10240.00
stage-5,37961.60,46723.50,36483.50,10240.00
stage-6,41683.69,46467.00,36227.00,10240.00
stage-7,38000.37,47362.50,37122.50,10240.00
stage-8,38117.11,47618.00,37378.00,10240.00
stage-9,37586.50,45569.50,35329.50,10240.00
stage-10,38872.79,44417.27,34177.27,10240.00
stage-11,43324.51,41664.84,31424.84,10240.00
