stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,39284.85,57475.10,52355.10,5120.00
stage-1,39091.67,55105.78,49985.78,5120.00
stage-2,38830.33,52736.22,42496.22,10240.00
stage-3,38574.57,55234.96,44994.96,10240.00
stage-4,38524.85,57475.96,47235.96,10240.00
stage-5,32982.88,53828.50,43588.50,10240.00
stage-6,31533.40,55299.00,45059.00,10240.00
stage-7,35035.61,55299.50,45059.50,10240.00
stage-8,36469.61,56835.00,46595.00,10240.00
stage-9,34006.53,49922.50,39682.50,10240.00
stage-10,36026.39,52738.00,42498.00,10240.00
stage-11,37695.62,56769.88,46529.88,10240.00
stage-12,41240.97,55169.25,44929.25,10240.00
stage-13,40934.43,40448.70,30208.70,10240.00
