stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,41453.03,48965.12,38725.12,10240.00
stage-1,40150.91,53440.37,43200.37,10240.00
stage-2,36273.63,54784.24,44544.24,10240.00
stage-3,37197.63,57350.90,47110.90,10240.00
stage-4,39563.74,54273.62,44033.62,10240.00
stage-5,39307.98,55234.88,44994.88,10240.00
stage-6,39052.23,56709.00,46469.00,10240.00
stage-7,40683.09,55683.38,45443.38,10240.00
stage-8,38906.90,57600.12,47360.12,10240.00
stage-9,39854.62,56705.00,46465.00,10240.00
stage-10,41335.99,57219.00,46979.00,10240.00
stage-11,41452.33,57345.25,47105.25,10240.00
stage-12,38911.93,52226.00,41986.00,10240.00
stage-13,37586.92,52801.88,42561.88,10240.00
stage-14,39090.98,53889.31,43649.31,10240.00
stage-15,41667.85,40448.70,30208.70,10240.00
