stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,38941.04,55875.63,50755.63,5120.00
stage-1,38550.01,57860.62,52740.62,5120.00
stage-2,38419.03,56133.54,51013.54,5120.00
stage-3,38246.53,57475.96,47235.96,10240.00
stage-4,32704.56,53828.50,43588.50,10240.00
stage-5,31255.08,55299.00,45059.00,10240.00
stage-6,34757.29,55299.50,45059.50,10240.00
stage-7,36191.29,56835.00,46595.00,10240.00
stage-8,33728.21,49922.50,39682.50,10240.00
stage-9,35748.07,52738.00,42498.00,10240.00
stage-10,37417.30,56769.88,46529.88,10240.00
stage-11,40962.65,55169.25,44929.25,10240.00
stage-12,40656.11,40448.70,30208.70,10240.00
