stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,46755.78,46979.24,36739.24,10240.00
stage-1,45715.26,38912.25,28672.25,10240.00
stage-2,9658.59,47681.75,39361.75,8320.00
stage-3,41806.12,40193.75,29953.75,10240.00
stage-4,50719.87,45569.62,35329.62,10240.00
stage-5,48288.45,47937.62,37697.62,10240.00
stage-6,48773.08,38272.25,28032.25,10240.00
stage-7,37500.69,47873.25,37633.25,10240.00
stage-8,31596.33,44547.00,34307.00,10240.00
stage-9,34797.83,47491.56,37251.56,10240.00
stage-10,32553.39,46978.44,36738.44,10240.00
stage-11,35875.78,47042.54,36802.54,10240.00
stage-12,43638.30,46082.50,35842.50,10240.00
stage-13,40576.13,41281.90,31041.90,10240.00
stage-14,37727.89,44929.25,34689.25,10240.00
stage-15,50913.37,44864.83,34624.83,10240.00
