stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,36724.73,46914.79,41794.79,5120.00
stage-1,35482.20,47619.97,42499.97,5120.00
stage-2,37244.71,47619.53,42499.53,5120.00
stage-3,38367.48,47395.04,42275.04,5120.00
stage-4,36805.13,46979.02,41859.02,5120.00
stage-5,36632.80,46818.79,41698.79,5120.00
stage-6,37524.40,46594.12,36354.12,10240.00
stage-7,35102.49,47425.90,37185.90,10240.00
stage-8,35399.09,44289.00,34049.00,10240.00
stage-9,36689.45,33408.70,23168.70,10240.00
