stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,44864.60,37089.52,31969.52,5120.00
stage-1,18179.16,47875.50,37635.50,10240.00
stage-2,25486.62,45249.62,35009.62,10240.00
stage-3,48197.94,38017.75,27777.75,10240.00
stage-4,50313.18,47426.88,37186.88,10240.00
stage-5,38848.33,47106.50,36866.50,10240.00
stage-6,35381.52,47299.45,37059.45,10240.00
stage-7,39861.93,45698.06,35458.06,10240.00
stage-8,34604.61,45569.75,35329.75,10240.00
stage-9,36813.32,47619.00,37379.00,10240.00
stage-10,44799.86,47873.25,37633.25,10240.00
stage-11,43047.72,47746.00,37506.00,10240.00
stage-12,41265.06,45826.27,35586.27,10240.00
stage-13,40168.55,45825.00,35585.00,10240.00
stage-14,50919.94,45184.96,34944.96,10240.00
