stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,38671.53,55364.09,50244.09,5120.00
stage-1,38215.70,56133.54,51013.54,5120.00
stage-2,37215.98,56773.04,51653.04,5120.00
stage-3,33670.17,56900.54,51780.54,5120.00
stage-4,35071.71,55043.00,44803.00,10240.00
stage-5,34817.86,57091.50,46851.50,10240.00
stage-6,40120.92,57219.00,46979.00,10240.00
stage-7,39793.25,57858.50,47618.50,10240.00
stage-8,36201.52,56066.53,45826.53,10240.00
stage-9,35863.05,53697.97,43457.97,10240.00
stage-10,36351.65,56833.00,46593.00,10240.00
stage-11,39909.60,40192.70,29952.70,10240.00
