stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,44620.40,36353.43,31233.43,5120.00
stage-1,38278.43,46560.93,41440.93,5120.00
stage-2,35532.97,47297.62,37057.62,10240.00
stage-3,45955.25,46401.84,36161.84,10240.00
stage-4,39832.76,45760.33,35520.33,10240.00
stage-5,35213.62,47300.50,37060.50,10240.00
stage-6,34359.88,47107.00,36867.00,10240.00
stage-7,38559.33,46723.50,36483.50,10240.00
stage-8,36569.11,47619.00,37379.00,10240.00
stage-9,38700.35,47874.50,37634.50,10240.00
stage-10,46519.69,47488.25,37248.25,10240.00
stage-11,36610.82,45569.50,35329.50,10240.00
stage-12,39470.53,44417.27,34177.27,10240.00
stage-13,43922.24,41664.84,31424.84,10240.00
