stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,37519.99,56901.27,51781.27,5120.00
stage-1,38306.60,57125.09,52005.09,5120.00
stage-2,36132.82,57603.97,52483.97,5120.00
stage-3,37148.20,56705.00,46465.00,10240.00
stage-4,36034.62,53443.35,48323.35,5120.00
stage-5,38357.28,56994.79,51874.79,5120.00
stage-6,37628.02,54786.00,44546.00,10240.00
stage-7,38857.89,40193.88,35073.88,5120.00
stage-8,37422.78,53889.31,43649.31,10240.00
stage-9,39999.65,40448.70,30208.70,10240.00
