stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,39771.59,57442.39,52322.39,5120.00
stage-1,39106.63,57600.24,47360.24,10240.00
stage-2,39106.63,55168.23,44928.23,10240.00
stage-3,39106.63,52736.22,42496.22,10240.00
stage-4,38850.87,55234.96,44994.96,10240.00
stage-5,38801.15,57475.96,47235.96,10240.00
stage-6,33259.18,53828.50,43588.50,10240.00
stage-7,31809.70,55299.00,45059.00,10240.00
stage-8,35311.91,55299.50,45059.50,10240.00
stage-9,36745.91,56835.00,46595.00,10240.00
stage-10,34282.83,49922.50,39682.50,10240.00
stage-11,36302.69,52738.00,42498.00,10240.00
stage-12,37971.92,56769.88,46529.88,10240.00
stage-13,41517.27,55169.25,44929.25,10240.00
stage-14,41210.73,40448.70,30208.70,10240.00
