stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,39034.13,46689.15,41569.15,5120.00
stage-1,38486.25,45632.76,40512.76,5120.00
stage-2,38288.40,46626.37,41506.37,5120.00
stage-3,35625.47,46020.03,40900.03,5120.00
stage-4,38713.96,47395.04,42275.04,5120.00
stage-5,35657.00,47619.05,37379.05,10240.00
stage-6,41408.47,47171.17,36931.17,10240.00
stage-7,37871.06,46594.12,36354.12,10240.00
stage-8,35449.15,47425.90,37185.90,10240.00
stage-9,37088.09,47105.00,36865.00,10240.00
stage-10,38860.37,35584.70,25344.70,10240.00
