stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,36433.67,56325.80,51205.80,5120.00
stage-1,34796.40,57029.27,51909.27,5120.00
stage-2,35854.69,56452.46,51332.46,5120.00
stage-3,35919.39,56067.47,50947.47,5120.00
stage-4,34674.02,55235.47,50115.47,5120.00
stage-5,36265.00,57859.75,47619.75,10240.00
stage-6,36483.44,54786.65,44546.65,10240.00
stage-7,35277.54,55298.53,45058.53,10240.00
stage-8,35183.19,45313.50,35073.50,10240.00
stage-9,35852.22,53505.00,43265.00,10240.00
stage-10,36061.11,33024.71,22784.71,10240.00
