stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,29792.02,27969.15,26689.15,1280.00
stage-1,28195.93,23056.96,21776.96,1280.00
stage-2,31305.16,23904.67,22624.67,1280.00
stage-3,31651.39,22977.04,21697.04,1280.00
stage-4,31543.84,21824.77,20544.77,1280.00
stage-5,31305.16,20496.53,19216.53,1280.00
stage-6,30571.81,24880.64,23600.64,1280.00
stage-7,33938.49,23768.65,22488.65,1280.00
stage-8,33204.99,25856.64,24576.64,1280.00
stage-9,33886.64,25472.45,24192.45,1280.00
stage-10,33603.22,22656.38,21376.38,1280.00
stage-11,33245.27,20152.44,18872.44,1280.00
stage-12,32863.52,17792.26,16512.26,1280.00
stage-13,33766.94,17256.19,15976.19,1280.00
stage-14,33677.88,13184.16,11904.16,1280.00
stage-15,32916.03,10312.10,9032.10,1280.00
