stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,31534.21,27457.96,24897.96,2560.00
stage-1,34097.72,26593.61,24033.61,2560.00
stage-2,32815.47,26881.49,24321.49,2560.00
stage-3,32815.47,25505.36,22945.36,2560.00
stage-4,33278.94,27617.28,26081.28,1536.00
stage-5,32410.72,26177.01,24769.01,1408.00
stage-6,34724.69,24705.24,22145.24,2560.00
stage-7,34434.57,27904.87,25344.87,2560.00
stage-8,31741.56,25024.93,22464.93,2560.00
stage-9,34429.03,23040.62,20480.62,2560.00
stage-10,33472.01,25152.65,22592.65,2560.00
stage-11,32960.09,27808.37,25248.37,2560.00
stage-12,34134.07,19680.31,17120.31,2560.00
stage-13,32455.11,13360.17,10800.17,2560.00
