stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,33692.45,27633.50,25809.50,1824.00
stage-1,33101.20,27617.59,26081.59,1536.00
stage-2,33101.20,26321.43,24785.43,1536.00
stage-3,33538.21,27457.27,26049.27,1408.00
stage-4,34886.73,26696.78,25160.78,1536.00
stage-5,34571.05,25952.98,23392.98,2560.00
stage-6,34551.82,23680.77,21120.77,2560.00
stage-7,33294.06,25152.65,22592.65,2560.00
stage-8,32782.14,27808.37,25248.37,2560.00
stage-9,33956.11,19680.31,17120.31,2560.00
stage-10,32277.15,13360.17,10800.17,2560.00
