stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,31474.09,26401.82,23841.82,2560.00
stage-1,32755.34,26881.49,24321.49,2560.00
stage-2,32755.34,25505.36,22945.36,2560.00
stage-3,33218.82,27617.28,26081.28,1536.00
stage-4,32068.02,27361.12,24801.12,2560.00
stage-5,33497.84,26945.02,25537.02,1408.00
stage-6,35004.56,26696.78,25160.78,1536.00
stage-7,34688.88,25952.98,23392.98,2560.00
stage-8,34669.66,23680.77,21120.77,2560.00
stage-9,33411.89,25152.65,22592.65,2560.00
stage-10,32899.97,27808.37,25248.37,2560.00
stage-11,34073.94,19680.31,17120.31,2560.00
stage-12,32394.99,13360.17,10800.17,2560.00
