stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,30129.10,26881.68,24321.68,2560.00
stage-1,32692.61,25505.36,22945.36,2560.00
stage-2,33156.08,27617.28,26081.28,1536.00
stage-3,33156.08,26321.15,24785.15,1536.00
stage-4,33270.23,26624.90,25216.90,1408.00
stage-5,35108.22,26976.95,25440.95,1536.00
stage-6,34626.14,25952.98,23392.98,2560.00
stage-7,34606.92,23680.77,21120.77,2560.00
stage-8,33349.15,25152.65,22592.65,2560.00
stage-9,32837.23,27808.37,25248.37,2560.00
stage-10,34011.21,19680.31,17120.31,2560.00
stage-11,32332.25,13360.17,10800.17,2560.00
