stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,31304.75,26594.10,24034.10,2560.00
stage-1,34089.27,27842.17,25282.17,2560.00
stage-2,34089.27,26594.01,24034.01,2560.00
stage-3,34389.85,26881.86,24321.86,2560.00
stage-4,32886.59,25505.36,22945.36,2560.00
stage-5,32886.59,24129.24,21569.24,2560.00
stage-6,32199.26,27361.12,24801.12,2560.00
stage-7,33692.95,25984.99,23424.99,2560.00
stage-8,35135.81,26696.78,25160.78,1536.00
stage-9,34820.13,25952.98,23392.98,2560.00
stage-10,34800.90,23680.77,21120.77,2560.00
stage-11,33543.14,25152.65,22592.65,2560.00
stage-12,33031.21,27808.37,25248.37,2560.00
stage-13,34205.19,19680.31,17120.31,2560.00
stage-14,32526.23,13360.17,10800.17,2560.00
