search_time (s),config time (ms)
0,63177.54449661367
1,30023.973011866172
2,26560.24400587637
3,19051.92252856088
35,19051.92252856088
62,19324.12592995484
87,19324.12592995484
103,19411.809272282528
104,19411.809272282528
105,19411.809272282528
106,19412.365802092845
107,19412.365802092845
108,19412.365802092845
137,19123.448761491894
171,19142.651734620897
206,19142.651734620897
212,19412.12999186803
213,19423.773453346497
214,19423.773453346497
215,19522.395495753117
216,19531.317138011113
217,19601.773650822102
218,19605.553225659427
219,19605.85062068901
220,19605.85062068901
