search_time (s),config time (ms)
0,21605.62214054483
1,18487.532478109395
2,18332.036288945295
4,18208.379861273377
6,18208.379861273377
17,18283.279173448427
18,18440.527731471186
20,18464.962408018207
23,18332.037073310286
25,18466.049722018208
28,18408.3103850522
29,18487.86898024022
32,18408.47061520325
36,18409.070525676118
38,18509.699635825644
43,18409.070787131117
44,18465.723159961635
47,18439.132900606677
50,18408.809508953083
52,18672.29563552801
54,18408.80942054357
56,18207.70554604326
58,18207.70554604326
59,18930.794131673883
60,18938.072963977997
61,18938.072963977997
62,19001.4163433816
64,18464.962669473203
65,19062.47289953123
67,18445.381405800104
70,18341.220113386495
72,18464.962757882717
73,18931.13153448871
74,19304.41292526738
78,18282.266965003946
80,18408.47061520325
82,18445.04435662333
84,18509.699547416134
85,20669.358785136796
88,18341.280067277956
89,20928.913333738066
90,20930.991111623392
92,18409.071136995626
93,18648.633682977783
95,18340.942664463128
101,18282.267101765436
103,18282.267101765436
104,18931.131671250198
106,18895.470083453456
107,19001.41648014309
108,18436.921745092495
110,18465.122988033767
111,18340.942801224617
112,18340.942801224617
114,18672.455954088575
115,21228.124558977208
117,18672.45621554357
118,18672.717931995627
119,18879.65325125243
121,21775.89795011324
122,21810.344150650024
123,18207.70554604326
124,18207.70554604326
125,18207.70554604326
126,18207.70554604326
127,18207.70554604326
128,18208.379861273377
129,18208.379861273377
130,18208.379861273377
131,18208.379861273377
132,18208.379861273377
133,18282.266965003946
134,18282.266965003946
135,18282.266965003946
136,18282.266965003946
137,18282.266965003946
138,18282.267101765436
139,18282.267101765436
140,18282.267101765436
141,18282.267101765436
142,18282.267101765436
143,18283.279173448427
144,18283.279173448427
145,18283.279173448427
146,18283.279173448427
147,18283.279173448427
148,18331.876493294727
149,18331.876493294727
150,18331.876493294727
151,18331.876493294727
152,18331.876493294727
153,18332.036288945295
154,18332.036288945295
155,18332.036288945295
156,18332.036288945295
157,18332.036288945295
158,18332.036811855287
159,18332.036811855287
160,18332.036811855287
161,18332.036811855287
162,18332.036811855287
