search_time (s),config time (ms)
0,87735.7105597834
1,46150.12164805231
2,21203.863253143696
3,21203.863253143696
4,21193.788390258876
5,21193.788390258876
6,21193.788390258876
7,21193.788390258876
8,21193.788390258876
9,21193.788390258876
10,21193.788390258876
11,21203.863253143696
12,21203.863253143696
13,21203.863253143696
14,21203.863253143696
15,21203.863253143696
16,21223.092453142905
17,21223.092453142905
18,21223.092453142905
19,21223.092453142905
20,21223.092453142905
21,21682.028980885545
22,21682.028980885545
23,21682.028980885545
24,21682.028980885545
25,21682.028980885545
26,22015.54343052801
27,22015.54343052801
28,22015.54343052801
29,22015.54343052801
30,22015.54343052801
31,22503.969024249498
32,22503.969024249498
33,22503.969024249498
34,22503.969024249498
35,22503.969024249498
36,22637.286317687747
37,22637.286317687747
38,22637.286317687747
39,22637.286317687747
40,22637.286317687747
41,22810.41084341466
42,22810.41084341466
43,22810.41084341466
44,22810.41084341466
45,22810.41084341466
46,22817.585874505574
47,22817.585874505574
48,22817.585874505574
49,22817.585874505574
50,22817.585874505574
51,22846.35263372383
52,22846.35263372383
53,22846.35263372383
54,22846.35263372383
55,22846.35263372383
56,23371.43872652802
57,23371.43872652802
58,23371.43872652802
59,23371.43872652802
60,23371.43872652802
64,22386.826407142908
65,22195.02652914291
66,22195.02652914291
67,22195.02652914291
68,22195.02652914291
69,22195.02652914291
70,22195.02652914291
71,22386.826407142908
72,22386.826407142908
73,22386.826407142908
74,22386.826407142908
75,22386.826407142908
76,22440.972106832574
77,22440.972106832574
78,22440.972106832574
79,22440.972106832574
80,22440.972106832574
81,22329.955479258882
82,22329.955479258882
83,22329.955479258882
84,22329.955479258882
85,22329.955479258882
86,22329.955479258882
87,22492.210435141737
88,22492.210435141737
89,22492.210435141737
90,22492.210435141737
91,22492.210435141737
92,22528.533676832572
93,22528.533676832572
94,22528.533676832572
95,22528.533676832572
96,25117.83578304496
97,25117.83578304496
98,25117.83578304496
99,25117.83578304496
100,25117.83578304496
101,37793.40216173455
102,37793.40216173455
103,37793.40216173455
