search_time (s),config time (ms)
0,36626.111502109554
1,33859.301276271115
2,29953.012850506268
3,18599.02380445822
4,18369.66307860083
5,18211.924145060955
6,18210.185821149476
11,18208.29383990236
53,17929.864245443503
73,17898.006415664142
95,17860.388309276274
207,17860.388309276274
208,17860.388309276274
209,17939.995699828425
210,17939.995699828425
211,17939.995699828425
212,17944.03538988448
213,17944.221710144247
214,17948.908726715817
215,17948.908726715817
216,18128.71512045405
