search_time (s),config time (ms)
0,43952.0940400523
1,23163.367852186755
2,10681.232512586947
3,10681.232512586947
4,10676.505596807774
5,10676.505596807774
6,10676.505596807774
7,10676.505596807774
8,10676.505596807774
9,10676.505596807774
10,10676.505596807774
11,10681.232512586947
12,10681.232512586947
13,10681.232512586947
14,10681.232512586947
15,10681.232512586947
16,10690.801620059417
17,10690.801620059417
18,10690.801620059417
19,10690.801620059417
20,10690.801620059417
21,10918.9260469685
22,10918.9260469685
23,10918.9260469685
24,10918.9260469685
25,10918.9260469685
26,11085.169056416253
27,11085.169056416253
28,11085.169056416253
29,11085.169056416253
30,11085.169056416253
31,11423.408253699652
32,11423.408253699652
33,11423.408253699652
34,11423.408253699652
35,11423.408253699652
36,11487.122125875996
37,11487.122125875996
38,11487.122125875996
39,11487.122125875996
40,11487.122125875996
41,11572.138425768118
42,11572.138425768118
43,11572.138425768118
44,11572.138425768118
45,11572.138425768118
46,11575.562675275816
47,11575.562675275816
48,11575.562675275816
49,11575.562675275816
50,11575.562675275816
51,11589.824113525083
52,11589.824113525083
53,11589.824113525083
54,11589.824113525083
55,11589.824113525083
56,11762.324192416258
57,11762.324192416258
58,11762.324192416258
59,11762.324192416258
60,11762.324192416258
64,11268.98530205942
65,11172.963280059419
66,11172.963280059419
67,11172.963280059419
68,11172.963280059419
69,11172.963280059419
70,11172.963280059419
71,11268.98530205942
72,11268.98530205942
73,11268.98530205942
74,11268.98530205942
75,11268.98530205942
76,11390.351110942014
77,11390.351110942014
78,11390.351110942014
79,11390.351110942014
80,11390.351110942014
81,11240.666605807779
82,11240.666605807779
83,11240.666605807779
84,11240.666605807779
85,11240.666605807779
86,11240.666605807779
87,11413.800824698976
88,11413.800824698976
89,11413.800824698976
90,11413.800824698976
91,11413.800824698976
92,11431.674120942012
93,11431.674120942012
94,11431.674120942012
95,11431.674120942012
96,12626.88462430464
97,12626.88462430464
98,12626.88462430464
99,12626.88462430464
100,12626.88462430464
101,18994.286636794935
102,18994.286636794935
103,18994.286636794935
