search_time (s),config time (ms)
0,85725.5568104959
1,43394.58307724784
2,25071.783186623965
3,25071.783186623965
4,25071.783186623965
5,25071.783186623965
6,25071.783186623965
7,25071.783186623965
8,25071.783186623965
9,28171.000034243967
10,28171.000034243967
11,28171.000034243967
12,28171.000034243967
13,28171.000034243967
14,43394.58307724784
15,43394.58307724784
16,43394.58307724784
17,43394.58307724784
18,43394.58307724784
19,85725.5568104959
20,85725.5568104959
21,85725.5568104959
22,85725.5568104959
23,85725.5568104959
