stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,9984.91,47508.09,42388.09,5120.00
stage-1,9811.32,46407.16,41287.16,5120.00
stage-2,9986.50,47425.98,42305.98,5120.00
stage-3,9821.63,47941.09,42821.09,5120.00
