stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,9530.40,47069.12,44409.12,2660.00
stage-1,9526.64,47293.98,42173.98,5120.00
stage-2,9727.63,47941.09,42821.09,5120.00
