search_time (s),config time (ms)
0,22769.148463578123
1,17958.538075920595
2,14251.20360545101
3,12135.7272143128
4,11977.749630290455
8,11977.701667177285
12,11977.701667177285
17,12118.816398120984
19,12211.225181631873
24,12178.947023635234
26,12016.155151993324
30,11985.371822400291
31,12068.861446951178
32,12386.386023912479
33,12386.052488394733
34,12443.78214936226
38,12445.297095877448
39,12447.427549935734
43,12373.227150287808
47,12298.547757463319
53,12241.307564951177
59,12236.316261069393
62,12241.163675611671
66,12241.163648259375
70,12241.211611372542
77,12240.836501259337
78,12241.307592303474
83,12240.83647390704
86,12240.836446554742
89,12241.01252306114
92,12240.742911072017
95,12240.788483441573
97,12241.84691436163
101,12242.70611382608
105,12138.614965846818
108,12121.828133042573
111,12121.18328550804
112,12178.632820880153
114,12241.529241179429
118,12240.884338940301
120,12240.614726951177
124,12055.25963042069
127,12242.660514104226
132,12240.630499879397
133,12242.265915870217
136,12181.756051033202
140,11986.191398176503
144,11986.095471950166
148,11986.191398176503
149,11986.191398176503
151,11986.461108245534
155,11985.323831934824
157,12091.715146426604
159,12179.179259535527
160,12207.559371290265
164,12298.945651653188
171,12299.039187135915
176,12299.766673774027
180,12299.86016588144
187,12299.039187135915
194,12298.76950441918
199,12298.76950441918
201,12299.039187135915
206,12231.33908848571
209,12231.33908848571
211,12231.60875517943
214,12179.325658880154
217,12313.458856575464
219,12213.166147198172
220,11946.683015997853
224,11946.683015997853
228,12060.148177759314
232,12060.100187293849
235,12060.100187293849
236,12318.371754768259
238,12318.371754768259
239,12318.642589876521
240,12318.913424984781
241,12319.774191273427
242,12324.580886846901
243,12329.888435775763
244,12330.581273775762
245,12332.251880087995
246,12354.685542926522
247,12360.44938110166
248,12360.449408453956
249,12360.497344214828
250,12360.625555687964
251,12382.47255385071
252,12386.598005821092
253,12387.206241338838
254,12392.575227855496
255,12426.33461972484
256,12461.195012952854
257,12462.809449048536
258,12463.084149048536
259,12475.241789794969
260,12475.289752908137
261,12475.321056551335
262,12475.369973915807
263,12475.414509977169
