search_time (s),config time (ms)
0,94275.1500936833
1,92979.60093941665
2,37108.45397125342
3,19128.156217420117
4,15357.372680741557
5,13008.21318333428
6,12668.948926690291
7,12592.734519552247
8,12461.2090157428
48,12461.2090157428
85,12461.227848712047
93,12476.709240356478
107,12460.238846712047
120,12460.238846712047
141,12476.851211757723
157,12476.851211757723
170,12476.748504935244
192,12487.694058890505
197,12460.220103742799
207,12460.220103742799
212,12506.895727155463
213,12506.895727155463
214,12506.895727155463
215,12604.714644890504
216,12622.391192329053
217,12622.391192329053
218,12622.391192329053
219,12622.391192329053
220,12623.4225445767
221,12623.424377155465
222,12662.235274535462
223,12665.3726411321
224,12676.850459866982
225,12676.850459866982
226,12676.850459866982
