search_time (s),config time (ms)
0,141957.73703427773
1,57161.88367843252
2,18265.084574510052
3,13782.946150525586
4,13782.946150525586
6,13740.278890854897
7,13740.278890854897
8,56532.948754704004
9,13740.278890854897
10,13740.278890854897
11,13740.278890854897
12,13740.278890854897
13,13740.278890854897
14,13782.946150525586
15,13782.946150525586
16,13782.946150525586
17,13782.946150525586
18,13782.946150525586
19,13797.567675292705
20,13797.567675292705
21,13797.567675292705
22,13797.567675292705
23,13797.567675292705
24,13955.287918431542
25,13955.287918431542
26,13955.287918431542
27,13955.287918431542
28,13955.287918431542
29,13968.156942292706
30,13968.156942292706
31,13968.156942292706
32,13968.156942292706
33,13968.156942292706
34,14003.943665092069
35,14003.943665092069
36,14003.943665092069
37,14003.943665092069
38,14003.943665092069
39,17672.308715100033
40,17672.308715100033
41,17672.308715100033
42,17672.308715100033
43,17672.308715100033
44,17728.684355399888
45,17728.684355399888
46,17728.684355399888
47,17728.684355399888
48,17728.684355399888
49,17743.10926451005
50,17743.10926451005
51,17743.10926451005
52,17743.10926451005
53,17743.10926451005
54,17956.565615399883
55,17956.565615399883
56,17956.565615399883
57,17956.565615399883
58,17956.565615399883
59,13940.898264036496
60,13940.898264036496
61,13940.898264036496
62,13940.898264036496
63,13940.898264036496
64,13940.898264036496
65,17783.658758172158
66,17783.658758172158
67,17783.658758172158
68,17783.658758172158
69,17783.658758172158
70,18194.48996450589
71,18194.48996450589
72,18194.48996450589
73,18194.48996450589
74,18265.084574510052
75,18265.084574510052
76,18265.084574510052
77,18265.084574510052
78,18265.084574510052
79,56532.948754704004
80,56532.948754704004
81,56532.948754704004
82,56532.948754704004
83,56532.948754704004
84,56532.948754704004
85,56532.948754704004
86,56532.948754704004
87,56532.948754704004
88,56532.948754704004
89,56774.8828336375
90,56774.8828336375
91,56774.8828336375
92,56774.8828336375
93,56774.8828336375
94,13739.656437186113
95,13739.656437186113
96,13739.656437186113
97,13739.656437186113
98,13739.656437186113
99,13739.656437186113
100,18194.28402510003
101,18194.28402510003
