stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,12038.72,46121.86,45481.86,640.00
stage-1,11885.22,38304.65,37664.65,640.00
stage-2,11971.87,40640.46,39360.46,1280.00
stage-3,11662.74,29323.53,28043.53,1280.00
stage-4,12094.86,21382.36,20102.36,1280.00
stage-5,11616.10,8620.85,7340.85,1280.00
