stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,17860.39,26635.47,24075.47,2560.00
stage-1,17785.99,23484.99,20924.99,2560.00
stage-2,17796.72,24008.77,22728.77,1280.00
stage-3,17791.28,27438.54,26158.54,1280.00
stage-4,17684.95,20289.26,18889.26,1400.00
