stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,32087.08,57082.95,53762.95,3320.00
stage-1,32369.61,57402.79,51002.79,6400.00
stage-2,30412.24,57762.48,54562.48,3200.00
stage-3,29484.52,56442.17,53242.17,3200.00
stage-4,29578.16,57041.86,53841.86,3200.00
stage-5,30416.67,57981.76,54781.76,3200.00
stage-6,27924.69,46561.15,40161.15,6400.00
stage-7,29319.02,50560.93,44160.93,6400.00
stage-8,31427.85,54770.68,51320.68,3450.00
stage-9,30005.82,33400.42,27000.42,6400.00
