stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,33583.97,55602.42,52282.42,3320.00
stage-1,33675.51,57283.41,54083.41,3200.00
stage-2,34568.99,57642.51,54442.51,3200.00
stage-3,33482.79,57682.88,54482.88,3200.00
stage-4,31580.34,52562.48,46162.48,6400.00
stage-5,32426.95,53482.44,47082.44,6400.00
stage-6,32819.22,52802.23,46402.23,6400.00
stage-7,29919.78,55281.24,48881.24,6400.00
stage-8,30978.73,47601.24,41201.24,6400.00
stage-9,34414.67,49121.12,42721.12,6400.00
stage-10,33249.80,55680.82,49280.82,6400.00
stage-11,33392.39,35640.45,29240.45,6400.00
