stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,35093.55,47660.53,44140.53,3520.00
stage-1,37361.65,47461.52,44261.52,3200.00
stage-2,36512.92,47362.54,44162.54,3200.00
stage-3,35410.72,47602.24,44402.24,3200.00
stage-4,33926.33,47761.92,44561.92,3200.00
stage-5,31764.56,47281.60,44081.60,3200.00
stage-6,27124.75,41920.99,35520.99,6400.00
stage-7,35236.45,47521.12,41121.12,6400.00
stage-8,35832.04,44320.74,37920.74,6400.00
stage-9,35408.76,37320.47,30920.47,6400.00
