stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,35122.01,57361.85,53841.85,3520.00
stage-1,32295.23,57883.84,54683.84,3200.00
stage-2,35871.78,56903.07,53703.07,3200.00
stage-3,33135.03,56963.82,50563.82,6400.00
stage-4,28468.04,48962.23,42562.23,6400.00
stage-5,28076.21,56001.98,49601.98,6400.00
stage-6,33054.28,52202.17,45802.17,6400.00
stage-7,34020.46,56962.47,50562.47,6400.00
stage-8,32914.79,55481.55,49081.55,6400.00
stage-9,32696.64,50240.99,43840.99,6400.00
stage-10,34571.80,49361.15,42961.15,6400.00
stage-11,33414.75,55600.89,49200.89,6400.00
stage-12,35904.85,37320.41,30920.41,6400.00
