stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,34568.53,55882.22,52362.22,3520.00
stage-1,34294.07,57002.48,53802.48,3200.00
stage-2,31932.35,57922.88,54722.88,3200.00
stage-3,30027.06,55602.23,52402.23,3200.00
stage-4,32062.56,57822.39,54622.39,3200.00
stage-5,33647.04,50721.86,44321.86,6400.00
stage-6,28264.07,55881.24,49481.24,6400.00
stage-7,28239.53,46081.24,39681.24,6400.00
stage-8,34139.37,49121.12,42721.12,6400.00
stage-9,32974.50,55680.82,49280.82,6400.00
stage-10,33117.09,35640.45,29240.45,6400.00
