stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,35195.25,54563.47,48163.47,6400.00
stage-1,36164.28,57080.99,50680.99,6400.00
stage-2,35266.40,55044.34,48644.34,6400.00
stage-3,30181.24,57604.03,51204.03,6400.00
stage-4,34698.38,56322.98,49922.98,6400.00
stage-5,36371.77,56203.41,49803.41,6400.00
stage-6,34284.36,56163.10,49763.10,6400.00
stage-7,29187.33,48962.32,42562.32,6400.00
stage-8,28983.19,57602.56,51202.56,6400.00
stage-9,33955.38,54442.17,48042.17,6400.00
stage-10,36542.19,52802.23,46402.23,6400.00
stage-11,31354.38,53481.75,47081.75,6400.00
stage-12,32797.73,49520.99,43120.99,6400.00
stage-13,35290.85,49361.12,42961.12,6400.00
stage-14,34615.12,56000.74,49600.74,6400.00
stage-15,36687.44,37320.47,30920.47,6400.00
