stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,36037.39,55560.77,52040.77,3520.00
stage-1,34486.56,54644.48,48244.48,6400.00
stage-2,31621.51,57484.03,51084.03,6400.00
stage-3,34463.72,56322.98,49922.98,6400.00
stage-4,36137.10,56203.41,49803.41,6400.00
stage-5,34049.69,56163.10,49763.10,6400.00
stage-6,28952.66,48962.32,42562.32,6400.00
stage-7,28748.52,57602.56,51202.56,6400.00
stage-8,33538.67,52202.17,45802.17,6400.00
stage-9,34504.85,56962.47,50562.47,6400.00
stage-10,33399.18,55481.55,49081.55,6400.00
stage-11,32563.06,49520.99,43120.99,6400.00
stage-12,35056.18,49361.12,42961.12,6400.00
stage-13,34517.09,56160.87,49760.87,6400.00
stage-14,36389.24,37320.41,30920.41,6400.00
