stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,36137.90,47641.61,41241.61,6400.00
stage-1,39770.26,34681.92,28281.92,6400.00
stage-2,35479.40,45760.20,39360.20,6400.00
stage-3,33944.50,44722.42,38322.42,6400.00
stage-4,36787.20,46560.81,40160.81,6400.00
stage-5,39687.02,46920.12,40520.12,6400.00
stage-6,39150.49,43680.12,37280.12,6400.00
stage-7,38491.45,45362.58,38962.58,6400.00
stage-8,39861.94,46402.48,40002.48,6400.00
stage-9,37091.44,47722.17,41322.17,6400.00
stage-10,34907.19,46881.86,40481.86,6400.00
stage-11,34764.18,43961.60,37561.60,6400.00
stage-12,33721.28,35921.28,29521.28,6400.00
stage-13,35859.98,46801.12,40401.12,6400.00
stage-14,35351.24,46880.74,40480.74,6400.00
stage-15,39795.40,42400.47,36000.47,6400.00
