stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,34253.46,46760.58,43440.58,3320.00
stage-1,34761.15,46240.34,43040.34,3200.00
stage-2,37368.13,41100.03,37900.03,3200.00
stage-3,36247.01,46440.99,43240.99,3200.00
stage-4,35861.14,47402.17,44202.17,3200.00
stage-5,36518.51,47361.86,40961.86,6400.00
stage-6,32369.88,45361.55,38961.55,6400.00
stage-7,34267.56,44961.49,38561.49,6400.00
stage-8,34939.45,47521.23,41121.23,6400.00
stage-9,34547.62,41280.82,34880.82,6400.00
stage-10,33343.26,35640.45,29240.45,6400.00
