stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,35956.00,41820.67,38500.67,3320.00
stage-1,36507.48,43920.40,40720.40,3200.00
stage-2,36084.06,47740.03,44540.03,3200.00
stage-3,37615.28,43680.12,37280.12,6400.00
stage-4,34242.39,47682.58,41282.58,6400.00
stage-5,32420.58,46882.56,40482.56,6400.00
stage-6,33167.00,45962.17,39562.17,6400.00
stage-7,35344.29,46162.09,39762.09,6400.00
stage-8,33878.30,43961.60,37561.60,6400.00
stage-9,33453.79,47201.28,40801.28,6400.00
stage-10,35141.04,46801.15,40401.15,6400.00
stage-11,33682.26,46000.76,39600.76,6400.00
stage-12,36890.12,38000.47,31600.47,6400.00
