stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,38192.98,39840.72,36320.72,3520.00
stage-1,37746.80,47720.19,44520.19,3200.00
stage-2,37397.09,45682.41,39282.41,6400.00
stage-3,38156.76,45680.12,39280.12,6400.00
stage-4,36433.11,47681.92,41281.92,6400.00
stage-5,36134.58,45961.74,39561.74,6400.00
stage-6,37706.46,46962.48,40562.48,6400.00
stage-7,31733.04,46922.17,40522.17,6400.00
stage-8,36484.64,46881.86,40481.86,6400.00
stage-9,31880.31,44761.55,38361.55,6400.00
stage-10,37519.26,47121.24,40721.24,6400.00
stage-11,30728.41,45000.93,38600.93,6400.00
stage-12,32129.34,44160.74,37760.74,6400.00
stage-13,36372.95,37320.41,30920.41,6400.00
