stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,47172.98,27642.47,26842.47,800.00
stage-1,48422.04,45341.23,44141.23,1200.00
stage-2,45877.25,40801.28,39701.28,1100.00
stage-3,44811.66,19361.12,18561.12,800.00
stage-4,48270.79,24760.74,23160.74,1600.00
stage-5,47411.21,45170.90,42720.90,2450.00
stage-6,45831.36,25600.80,24000.80,1600.00
stage-7,46363.51,47320.69,44920.69,2400.00
stage-8,45959.98,44600.55,42200.55,2400.00
stage-9,47429.85,42900.43,40100.43,2800.00
stage-10,46679.27,36690.31,34140.31,2550.00
stage-11,46931.55,30090.15,27340.15,2750.00
