stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,36979.10,40220.77,36900.77,3320.00
stage-1,37550.31,47361.80,40961.80,6400.00
stage-2,35637.07,45361.61,38961.61,6400.00
stage-3,37066.66,47361.49,40961.49,6400.00
stage-4,37552.48,47403.84,41003.84,6400.00
stage-5,36381.71,45601.24,39201.24,6400.00
stage-6,38214.32,45362.58,38962.58,6400.00
stage-7,38466.51,47361.98,40961.98,6400.00
stage-8,37499.31,47682.67,41282.67,6400.00
stage-9,35953.04,46162.09,39762.09,6400.00
stage-10,34487.05,43961.60,37561.60,6400.00
stage-11,34115.80,47681.28,41281.28,6400.00
stage-12,35623.42,46201.12,39801.12,6400.00
stage-13,34291.01,46000.76,39600.76,6400.00
stage-14,37498.87,38000.47,31600.47,6400.00
