search_time (s),config time (ms)
0,43533.14242225432
1,36620.947891773954
4,36620.947891773954
9,35963.04192411558
14,35963.04192411558
18,36616.207107272516
19,35963.04192411558
20,35963.04192411558
21,35963.04192411558
22,35963.04192411558
23,35963.04192411558
24,36616.207107272516
25,36616.207107272516
26,36616.207107272516
27,36616.207107272516
28,36616.207107272516
29,36616.68751163367
30,36616.68751163367
31,36616.68751163367
32,36616.68751163367
33,36616.68751163367
34,36620.947891773954
35,36620.947891773954
36,36620.947891773954
37,36620.947891773954
38,36620.947891773954
39,36785.15187936932
40,36785.15187936932
41,36785.15187936932
42,36785.15187936932
43,36785.15187936932
47,35675.87688577666
48,34759.73958763367
49,34759.73958763367
50,34759.73958763367
51,34759.73958763367
52,34759.73958763367
53,34759.73958763367
57,34469.86699734449
58,34469.86699734449
59,33938.48698428143
68,33938.48698428143
69,34723.61725959905
76,35871.75332258704
80,36617.77650447681
85,36616.93821981729
86,33938.48698428143
87,33938.48698428143
88,33938.487389536676
89,33938.487389536676
91,34469.86699734449
93,34469.86699734449
95,34723.61725959905
97,34723.61725959905
101,34840.48929425039
102,34840.48929425039
103,34840.48929425039
107,34843.91106617752
108,34843.91106617752
109,34849.115867158005
110,34849.115867158005
112,35543.16896281929
117,33938.487389536676
121,34376.8188638004
125,35543.01323796603
126,33938.487389536676
127,33938.48779479192
131,34376.8188638004
138,35871.75372784229
142,36617.776909732056
145,34723.6176648543
146,34843.75534132426
147,34845.178405906256
148,34848.96014230474
149,35543.01323796603
154,34724.0976639602
158,36616.93862507254
160,34724.0976639602
161,34839.45238419565
162,35675.87688577666
163,35675.87688577666
164,35675.87688577666
165,35871.75332258704
166,35871.75332258704
167,35873.6884489641
168,35873.6884489641
169,35965.57213004219
170,35965.57213004219
180,33938.61612036798
186,34377.07565640774
193,33938.744182144015
201,33938.743899233574
207,34377.0753734973
211,34723.874174551194
215,36139.94139825794
219,36616.33583810382
223,36617.06709210382
227,36617.06709210382
231,36617.06723355904
234,36786.01186420063
237,36786.012005655844
