stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,79487.97,47974.14,42854.14,5120.00
stage-1,76664.10,47353.27,42233.27,5120.00
stage-2,73071.29,47300.00,37060.00,10240.00
stage-3,77909.90,47043.00,36803.00,10240.00
stage-4,79694.90,47490.00,37250.00,10240.00
stage-5,79853.49,47717.20,37477.20,10240.00
