search_time (s),config time (ms)
0,40773.3824419834
1,19128.589972991696
2,8008.411466495851
3,2876.516389247924
4,2876.516389247924
5,2876.516389247924
6,2876.516389247924
7,2876.516389247924
8,2876.516389247924
9,2876.516389247924
10,8008.411466495851
11,8008.411466495851
12,8008.411466495851
13,8008.411466495851
14,8008.411466495851
15,19128.589972991696
16,19128.589972991696
17,19128.589972991696
18,19128.589972991696
19,19128.589972991696
20,40773.3824419834
21,40773.3824419834
22,40773.3824419834
23,40773.3824419834
24,40773.3824419834
