search_time (s),config time (ms)
0,10810.435399122684
1,5051.251875974168
2,3894.9919259138474
3,3466.5283138406703
4,2638.511322656051
5,2438.0822589740324
6,2133.4546044213535
7,2124.345286093057
12,2120.2198341226763
19,2120.2198341226763
27,2124.31453340851
39,2119.4413883040256
45,2119.4413883040256
53,2145.812076061313
54,2145.812076061313
61,2145.8961354467633
69,2123.74781489141
72,2123.74781489141
83,2153.2071565882115
89,2153.7306489712078
95,2167.418476709742
102,2153.7738751053116
108,2153.7738751053116
114,2181.1567196535466
117,2193.396957446579
126,2164.204837911782
133,2149.5451679102193
140,2204.7677184692293
143,2205.7925482635846
152,2205.7899341083203
156,2205.824817025721
161,2205.7058747228702
166,2123.0260634377164
173,2122.8051945351663
181,2169.215916571011
188,2169.215916571011
190,2202.762377219035
191,2202.762377219035
192,2205.91375472287
195,2205.9638403461836
200,2206.02938633745
204,2181.351391294732
210,2180.453236653547
213,2180.976729036543
214,2206.33096585455
220,2206.4277349631875
221,2206.4277349631875
222,2206.4277349631875
225,2206.506837456898
229,2202.683625753622
230,2206.2207993769357
231,2206.2207993769357
232,2206.2207993769357
233,2206.8976393374496
234,2207.03789585455
235,2217.3202581054156
236,2217.3359253835692
237,2217.4776839638635
238,2217.491550188015
239,2217.550319392863
240,2217.757254979115
241,2217.757254979115
242,2217.757254979115
243,2218.043512670428
244,2218.9026813621113
245,2219.7635358587236
246,2219.7635358587236
247,2223.2822523778173
248,2223.3221162374966
249,2223.981047218485
250,2226.912814536948
251,2228.5005166178303
252,2228.602163819477
253,2229.494699484563
254,2229.924812577629
255,2229.9769920383596
256,2230.5107424459034
257,2230.86114123238
258,2231.255735655363
259,2231.255735655363
260,2231.6824481986973
261,2231.9540953727937
262,2231.9540953727937
263,2232.1837899905317
264,2232.1837899905317
265,2232.520768855694
266,2232.9134306309825
267,2233.2378658556936
268,2233.2378658556936
269,2233.2378658556936
270,2233.2378658556936
271,2238.542982928756
272,2241.486480432591
273,2241.5417331814056
274,2241.7073493351418
275,2242.0534721690733
276,2242.0534721690733
277,2242.0534721690733
278,2242.0534721690733
279,2242.1807192222614
280,2242.582070055905
