search_time (s),config time (ms)
0,17729.182403122682
1,7159.622735974167
2,5847.903022727213
3,4003.0730570289243
4,3328.798783164818
5,3190.073143734684
10,3189.9316885141025
12,3189.803531745561
13,3189.803504393263
35,3189.803504393263
50,3189.8514675064316
65,3189.8514948587294
77,3190.12113420015
87,3190.12120492776
101,3197.710734611473
102,3197.710734611473
114,3189.8514948587294
132,3189.979651627271
147,3189.9796789795682
148,3189.9796789795682
168,3227.2392232674392
181,3227.2500434060357
182,3227.2500434060357
202,3227.20205294057
207,3227.20205294057
214,3227.2392232674392
215,3230.123702410837
216,3231.3659285033928
217,3240.0508445957958
218,3240.93376026744
219,3243.1314880659047
220,3243.1314880659047
221,3253.5953634342554
222,3253.5953634342554
223,3256.910217276933
224,3256.910244629231
225,3256.9103153568412
226,3257.0384013977723
227,3259.780375187642
228,3268.2448058609175
229,3268.2448332132153
230,3268.3729899817567
231,3306.5213851207855
232,3306.569348233954
233,3306.569375586251
234,3313.268888747749
235,3313.4450359817565
236,3326.475493576579
237,3326.616948797161
238,3328.7508200516495
239,3328.7988105171153
240,3329.0684932338486
241,3343.528473951447
242,3343.528473951447
243,3343.576409712318
244,3343.576437064615
245,3343.576464416913
246,3343.576464416913
247,3356.2355152652517
248,3356.4571641412067
249,3361.8462201432803
250,3373.131327935512
251,3373.13135528781
252,3373.353074891375
253,3373.401065356841
254,3388.600492599149
255,3388.6005199514466
256,3388.6005199514466
257,3388.6484557123176
258,3388.6484557123176
259,3388.6484557123176
260,3388.6484557123176
261,3388.6484557123176
262,3388.648483064615
263,3388.86342723829
264,3388.87013194057
265,3388.87013194057
266,3388.918193133646
267,3390.646307104495
268,3390.6942975699612
269,3410.1100365181514
270,3418.1920241349303
271,3418.1920241349303
272,3418.1920241349303
273,3419.069508817124
274,3419.069508817124
275,3419.069508817124
276,3419.069508817124
