search_time (s),config time (ms)
0,78431.60503398332
1,36509.95778099169
2,14906.94791449586
3,4972.6054772479265
4,4972.6054772479265
5,4972.6054772479265
6,4972.6054772479265
7,4972.6054772479265
8,4972.6054772479265
9,4972.6054772479265
10,14906.94791449586
11,14906.94791449586
12,14906.94791449586
13,14906.94791449586
14,14906.94791449586
15,36509.95778099169
16,36509.95778099169
17,36509.95778099169
18,36509.95778099169
19,36509.95778099169
20,78431.60503398332
21,78431.60503398332
22,78431.60503398332
23,78431.60503398332
24,78431.60503398332
