search_time (s),config time (ms)
0,10106.641531578129
1,5588.93815149929
2,5249.110582395343
3,5126.185785782136
4,5114.920136892783
5,5114.920136892783
6,5111.065520030664
7,5111.065520030664
8,5111.065520030664
9,5111.065520030664
10,5111.065520030664
11,5111.065520030664
12,5111.065520030664
13,5114.920136892783
14,5114.920136892783
15,5114.920136892783
16,5114.920136892783
17,5114.920136892783
18,5124.268155397629
19,5124.268155397629
20,5124.268155397629
21,5124.268155397629
22,5124.268155397629
23,5126.185785782136
24,5126.185785782136
25,5126.185785782136
26,5126.185785782136
27,5126.185785782136
28,5248.170027020633
29,5248.170027020633
30,5248.170027020633
31,5248.170027020633
32,5248.170027020633
33,5249.110582395343
34,5249.110582395343
35,5249.110582395343
36,5249.110582395343
37,5249.110582395343
38,5588.93815149929
39,5588.93815149929
40,5588.93815149929
41,5588.93815149929
42,5588.93815149929
43,5768.576902157611
44,5768.576902157611
45,5768.576902157611
46,5768.576902157611
47,5110.6089488302305
48,5110.480711663684
49,5110.480711663684
50,5110.9373359098245
51,5115.9929027719445
52,5110.480711663684
53,5110.480711663684
54,5110.480711663684
55,5110.480711663684
56,5110.480711663684
57,5110.6089488302305
58,5110.6089488302305
59,5110.6089488302305
60,5110.6089488302305
61,5110.6089488302305
62,5110.8797662565885
63,5110.8797662565885
64,5110.8797662565885
65,5110.8797662565885
66,5110.8797662565885
67,5110.8797662565885
68,5110.8797662565885
69,5110.8797662565885
70,5110.8797662565885
71,5110.8797662565885
72,5110.9373359098245
73,5110.9373359098245
74,5110.9373359098245
75,5110.9373359098245
76,5110.9373359098245
77,5115.9929027719445
78,5115.9929027719445
79,5115.9929027719445
80,5115.9929027719445
81,5115.9929027719445
82,5124.220192284461
83,5124.220192284461
84,5124.220192284461
85,5124.220192284461
86,5124.220192284461
87,5126.009638548129
88,5126.009638548129
89,5126.009638548129
90,5126.009638548129
91,5126.009638548129
92,5126.057683718191
93,5126.057683718191
94,5126.057683718191
95,5126.057683718191
96,5126.057683718191
97,5126.137822668968
98,5126.137822668968
99,5126.137822668968
100,5126.137822668968
