stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,40710.64,27940.67,24740.67,3200.00
stage-1,32633.92,26001.15,22801.15,3200.00
stage-2,34395.53,26350.03,23800.03,2550.00
stage-3,38417.54,27740.65,24540.65,3200.00
stage-4,40888.62,27920.15,24720.15,3200.00
stage-5,34968.43,26370.11,23820.11,2550.00
stage-6,40823.76,27360.87,24160.87,3200.00
stage-7,34343.13,27881.16,24681.16,3200.00
stage-8,35560.52,27970.03,25120.03,2850.00
stage-9,35966.25,26720.78,23520.78,3200.00
stage-10,32532.23,27940.58,24740.58,3200.00
stage-11,36909.30,27680.37,24480.37,3200.00
stage-12,35481.29,27600.24,24400.24,3200.00
