stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,12922.53,23280.90,21680.90,1600.00
stage-1,29972.40,27251.20,25651.20,1600.00
stage-2,30614.07,27621.12,26021.12,1600.00
stage-3,31032.30,25930.83,24330.83,1600.00
stage-4,30763.28,27801.15,26201.15,1600.00
stage-5,31873.73,26770.88,25170.88,1600.00
stage-6,31458.62,25941.19,24341.19,1600.00
stage-7,31378.29,25610.72,23960.72,1650.00
stage-8,30389.69,26560.77,24960.77,1600.00
stage-9,27914.39,26810.56,25210.56,1600.00
stage-10,30565.42,27060.48,25460.48,1600.00
stage-11,33783.03,24970.59,23370.59,1600.00
stage-12,34012.22,27000.38,25200.38,1800.00
stage-13,29768.59,27540.24,25890.24,1650.00
stage-14,29591.17,22960.21,21360.21,1600.00
stage-15,32051.34,20510.10,18610.10,1900.00
