stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,44048.74,27021.52,25751.52,1270.00
stage-1,45462.11,25261.38,24161.38,1100.00
stage-2,45261.98,23040.86,22040.86,1000.00
stage-3,45224.62,25141.10,24041.10,1100.00
stage-4,44754.55,27990.78,25990.78,2000.00
stage-5,44778.78,27315.67,26140.67,1175.00
stage-6,46025.92,27640.56,25390.56,2250.00
stage-7,46436.58,27960.55,25760.55,2200.00
stage-8,43808.53,27800.45,25600.45,2200.00
stage-9,43852.48,27900.26,25500.26,2400.00
stage-10,46381.34,27840.16,25140.16,2700.00
