stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,41491.26,27806.66,26561.66,1245.00
stage-1,40188.23,24521.06,23621.06,900.00
stage-2,41849.15,27791.12,25941.12,1850.00
stage-3,41495.80,27740.86,25740.86,2000.00
stage-4,42176.25,26561.06,25561.06,1000.00
stage-5,42746.23,27195.67,26220.67,975.00
stage-6,38262.00,27950.67,25900.67,2050.00
stage-7,40652.33,27190.56,25190.56,2000.00
stage-8,42757.92,27710.38,25760.38,1950.00
stage-9,41525.66,27710.38,25460.38,2250.00
stage-10,41474.07,26060.22,23860.22,2200.00
stage-11,42302.67,27330.14,24830.14,2500.00
