stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,32425.76,27381.32,25511.32,1870.00
stage-1,32177.16,27231.12,25581.12,1650.00
stage-2,28674.27,25531.17,23931.17,1600.00
stage-3,33983.32,27530.96,25880.96,1650.00
stage-4,31871.80,27190.99,25590.99,1600.00
stage-5,29494.63,26690.80,25040.80,1650.00
stage-6,31533.45,27590.86,25990.86,1600.00
stage-7,34675.80,26320.95,24720.95,1600.00
stage-8,34930.75,27600.67,25800.67,1800.00
stage-9,31174.75,27990.48,26340.48,1650.00
stage-10,33300.03,27620.53,25820.53,1800.00
stage-11,30919.55,27120.42,25520.42,1600.00
stage-12,35164.32,27000.24,25250.24,1750.00
stage-13,35350.25,27350.22,25300.22,2050.00
stage-14,32324.92,10480.12,9530.12,950.00
