stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,35250.45,26791.71,25721.71,1070.00
stage-1,35090.29,23941.30,23141.30,800.00
stage-2,36701.59,27951.15,26201.15,1750.00
stage-3,35065.95,27940.88,26290.88,1650.00
stage-4,32312.84,27041.06,25441.06,1600.00
stage-5,36021.87,27560.86,25960.86,1600.00
stage-6,36530.16,25510.64,23760.64,1750.00
stage-7,33932.92,27740.67,25940.67,1800.00
stage-8,31833.86,26690.58,25040.58,1650.00
stage-9,36939.85,27620.48,25820.48,1800.00
stage-10,36939.85,25480.38,23680.38,1800.00
stage-11,32383.39,27660.29,25860.29,1800.00
stage-12,36441.90,27670.19,25720.19,1950.00
stage-13,35403.88,22930.12,20780.12,2150.00
