search_time (s),config time (ms)
0,171230.44108286427
1,146225.68534332918
2,143293.75162119477
5,143293.75162119477
6,143293.5918255442
7,143293.5918255442
18,143293.75214410474
19,144202.70061633774
22,143293.75240555976
26,143950.67668525843
29,143950.83691540948
32,143951.43682588235
33,146226.02184546
35,144378.0537970157
37,144376.96648301568
39,144763.44729495537
42,144201.3057854732
45,143951.17580915932
47,146067.42686373423
48,148170.61935789898
53,143951.43708733734
55,144377.12697462173
57,145846.6324911515
60,143951.2768571863
62,144376.9668328802
63,148171.3798483874
65,144376.96674447067
70,143949.442784274
72,143950.83682699996
74,144377.12680157623
76,143950.83691540948
77,152783.20542329983
78,148170.77984950502
79,158121.4185215546
82,144177.4480373012
83,160203.95851885361
85,143951.43743720185
87,145846.03249226912
88,149779.47482909806
91,143949.62092118926
92,144763.44720654585
93,151313.6262792079
99,143950.837003819
101,144594.59238981793
103,147825.11987541165
104,149779.31487247
105,150357.6362978761
106,144176.84786537333
108,144377.12706303122
109,145062.43627974007
110,145062.43627974007
112,146067.58718229478
113,162468.2167642727
114,146067.84916020182
115,149382.98628330496
117,145896.67289688892
119,146842.6955364565
120,146842.6955364565
122,166855.8566274388
124,166861.43415009588
126,166865.90584142852
128,146067.24872681897
130,146067.24872681897
132,146067.24872681897
134,146067.84898715635
137,143949.62100959875
138,143949.62100959875
141,146067.58718229478
142,163358.23502267775
143,143293.5918255442
144,143293.5918255442
145,143293.5918255442
146,143293.5918255442
147,143293.5918255442
148,143293.75162119477
149,143293.75162119477
150,143293.75162119477
151,143293.75162119477
152,143293.75162119477
153,143293.75214410474
154,143293.75214410474
155,143293.75214410474
156,143293.75214410474
157,143293.75214410474
158,143293.75240555976
159,143293.75240555976
160,143293.75240555976
161,143293.75240555976
162,143293.75240555976
163,143949.442784274
164,143949.442784274
165,143949.442784274
166,143949.442784274
167,143949.442784274
168,143949.62092118926
169,143949.62092118926
170,143949.62092118926
171,143949.62092118926
172,143949.62092118926
173,143949.62100959875
174,143949.62100959875
