search_time (s),config time (ms)
0,342902.2272419836
1,173578.33230899135
2,100287.13274649586
3,100287.13274649586
4,100287.13274649586
5,100287.13274649586
6,100287.13274649586
7,100287.13274649586
8,100287.13274649586
9,112684.00013697587
10,112684.00013697587
11,112684.00013697587
12,112684.00013697587
13,112684.00013697587
14,173578.33230899135
15,173578.33230899135
16,173578.33230899135
17,173578.33230899135
18,173578.33230899135
19,342902.2272419836
20,342902.2272419836
21,342902.2272419836
22,342902.2272419836
23,342902.2272419836
