search_time (s),config time (ms)
0,74336.21166250865
1,72607.83237131733
2,58136.00752553148
3,44700.9173674332
4,44690.16170632322
5,44399.272866715415
7,43001.82050779659
9,43001.54974341594
14,43001.54967268833
20,43001.54967268833
27,43242.40385293172
28,43243.46770855107
33,43243.94763692937
34,43243.94763692937
47,43243.339453702625
50,43001.421488567496
53,43001.421488567496
58,44557.08877844581
64,44699.86752420165
71,44700.60227788705
72,44700.60227788705
78,44700.97608490086
79,44700.97608490086
88,43243.46763782346
89,44703.58052409334
90,44703.58052409334
91,44703.58052409334
92,44703.58052409334
93,44703.58052409334
96,44704.45677605651
102,44856.369486677
112,44395.147414745035
113,44919.72320632321
119,45017.541794239834
126,44555.71281668368
130,44555.71281668368
135,44808.09335143977
139,44395.14748547265
143,45156.233038936494
148,45305.64224491375
149,45305.64224491375
155,44052.196794420925
156,45306.37497465287
157,45306.37497465287
159,45309.570592890734
160,45309.570592890734
170,43380.93265041595
175,43380.93265041595
183,45409.00953193482
192,45447.61095990087
200,43243.94784609337
202,43665.22508818216
203,43665.22508818216
205,45689.47105204612
208,44320.76963094614
213,43380.8043955675
221,43380.8043955675
226,43622.58691406215
227,43622.58691406215
232,45874.06003513717
235,44395.0192306242
240,44395.0192306242
241,44395.0192306242
245,45306.039017035866
246,45876.513683072386
247,45876.513683072386
248,45876.513683072386
249,45976.18339771802
250,46002.60329954506
251,46018.123063121304
252,46018.569711061806
253,46018.569711061806
254,46018.569711061806
255,46018.569711061806
256,46018.569711061806
257,46018.569711061806
258,46049.95958337472
259,46083.24858693968
260,46083.24858693968
261,46137.254366912304
262,46141.59817744589
263,46152.050482907514
264,46257.86120833717
265,46280.5408016099
266,46284.66625358029
267,46287.14091979968
268,46334.74872053925
269,46335.264782399005
270,46383.23599521931
271,46406.91985619779
272,46426.41441724585
273,46461.76195849892
274,46461.76195849892
275,46510.735949797454
276,46539.81665280335
277,46539.81665280335
278,46539.81665280335
279,46565.578052098586
280,46701.156652067395
281,46878.668531365685
282,46879.00448898269
